show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,score,id,duration_int,duration_type
s1772,tv show,the bastard executioner,nan,nan,united states,2020-03-13,2015,tv-ma,1 season,"action, adventure, drama","the bastard executioner is a blood-soaked, medieval epic that tells the story of wilkin brattle, a 14th century warrior, whose life is forever changed when a divine messenger beseeches him to lay down his sword and lead the life of another man: a journeyman executioner. set in northern wales during a time rife with rebellion and political upheaval, wilkin must walk a tight rope between protecting his true identity while also serving a mysterious destiny.",88,hs1772,1,season
s1773,tv show,atlanta,nan,nan,united states,2020-03-12,2016,tv-ma,2 season,"black stories, comedy, drama",young rappers try to build their music careers in atlanta.,26,hs1773,2,season
s1774,tv show,better things,nan,nan,united states,2020-03-12,2016,tv-ma,4 season,"comedy, drama",award-winning fx comedy series better things centers on a single mom and actress trying to raise her three daughters in los angeles.,36,hs1774,4,season
s1775,tv show,monchhichi,nan,nan,nan,2020-03-12,2019,nan,1 season,"adventure, comedy, family","at nightfall you can see stars in the sky and glitter falling over each child as they fall asleep. it all comes from the dream tree factory, a magical place where the sweetest dreams are made. follow the brave and cute monchhichi, the sleep custodians as they embark on their magical adventures. and remember, creating sweet dreams is a lot more work than one might think!",72,hs1775,1,season
s1776,movie,monos,nan,nan,"colombia, argentina, netherlands, germany, sweden, uruguay, united states, switzerland, denmark, france",2020-03-09,2019,r,103 min,"adventure, international, thriller","a young group of soldiers and rebels keep watch over an american hostage, doctora. after an ambush drives the squadron into the jungle, both the mission and the intricate bonds between the group begin to disintegrate.",62,hs1776,103,min
s1777,tv show,the most dangerous animal of all,nan,nan,united states,2020-03-07,2020,tv-14,1 season,documentaries,a man who is searching for the father who abandoned him believes his father is one of the most infamous serial killers in american history.,43,hs1777,1,season
s1778,movie,crawlers,nan,nan,nan,2020-03-06,2020,tv-ma,81 min,horror,on saint patrick's day – a night of wild parties and drunken revelry – three unlikely friends band together to save a college town from a vicious horde of body-switching aliens.,2,hs1778,81,min
s1779,tv show,hillary,nan,nan,nan,2020-03-06,2020,tv-ma,1 season,documentaries,"emmy® nominated a remarkably intimate portrait of a public woman, hillary interweaves revealing moments from never-before-seen 2016 campaign footage with biographical chapters of her life. featuring exclusive interviews with hillary rodham clinton herself, bill clinton, chelsea clinton, friends, and journalists, the series examines how she became at once one of the most admired and vilified women in the world.",45,hs1779,1,season
s1780,tv show,"i draw, you cook",nan,nan,nan,2020-03-06,2018,nan,3 season,"cooking & food, lifestyle & culture, reality",two chefs compete to create the perfect dish based off a child's wild imagination.,36,hs1780,3,season
s1781,movie,knives and skin,nan,nan,united states,2020-03-06,2019,112 min,nan,"drama, horror, mystery","a small-town collapses into disarray after a teenage girl goes missing and her friends and their families become ensnared in a web of lies, suspicion, and depravity.",15,hs1781,nan,nan
s1782,tv show,devs,nan,nan,"united kingdom, united states",2020-03-05,2020,tv-ma,1 season,"drama, science fiction, thriller","in devs, an fx limited series, a young software engineer, lily chan, investigates the secret development division of her employer, a cutting-edge tech company based in silicon valley, which she believes is behind the murder of her boyfriend. devs stars sonoya mizuno as “lily chan;” nick offerman as “forest,” the ceo of amaya; jin ha as “jamie,” lily’s former boyfriend; karl glusman as “sergei,” lily’s boyfriend; zach grenier as “kenton,” amaya’s head of security; stephen mckinley henderson as “stewart,” one of the top minds working in amaya’s secret development division; cailee spaeny as the young, brilliant “lyndon;” and alison pill as “katie,” the gifted quantum physicist and second in command at amaya. alex garland writes, directs and serves as executive producer of devs along with andrew macdonald and allon reich of dna tv, scott rudin, eli bush and garrett basch. the series is produced by fx productions.",86,hs1782,1,season
s1783,tv show,defining moments with ozy,nan,nan,united states,2020-03-04,2020,tv-14,1 season,documentaries,"no one starts out on top, even if it seems like they did. no matter how high they’ve climbed, the most successful people have all struggled on their journey to greatness. they’ve all had moments of fear and doubt. they’ve all thought about giving up. they’ve all had defining moments. get ready to see some of the most inspiring, groundbreaking, ballsy, and fascinating people – getting raw, vulnerable, and real about their path to success. defining moments, exclusively on hulu, features in-depth interviews that delve into topics rarely discussed by public figures like identity, family, and dignity. most importantly, you’ll learn how they overcame in moments of adversity, emerging stronger and more resolved than ever to keep going. no matter where you come from or who you long to be, defining moments will encourage you to find your voice and follow your dreams, no matter what.",71,hs1783,1,season
s1784,tv show,flesh and bone (tv),nan,nan,nan,2020-03-02,2015,tv-ma,1 season,"drama, lifestyle & culture","""flesh and bone"" follows a young ballet dancer, claire, who has a distinctly troubled past, as she joins a prestigious ballet company in new york. the dark, gritty, complex series unflinchingly explores the dysfunction and glamour of the ballet world and new york's inherent drama. claire is emotionally wounded, sexually damaged, and possesses self-destructive tendencies amid her vaulting ambitions. she is a transcendent ballerina, but her inner torment and aspirations drive her in compelling, unforeseeable ways, especially when confronted with the machinations of the company's mercurial artistic director, and an unwelcome visitor from her past.",83,hs1784,1,season
s1785,tv show,it's always sunny in philadelphia,nan,nan,united states,2020-03-02,2005,tv-ma,14 season,"comedy, sitcom","it's always sunny in philadelphia features mac, dennis, charlie, sweet dee and frank, five ne’er-do-wells who own and operate paddy’s pub in philadelphia. their constant scheming usually lands them in a world of hurt, yet they never seem to learn from their mistakes. as they say, some things never change. so prepare for more depraved schemes, half-baked arguments, and absurdly underhanded plots to subvert one another.",12,hs1785,14,season
s1786,tv show,life in pieces,nan,nan,united states,2020-03-02,2015,tv-pg,4 season,"comedy, sitcom","life in pieces is a comedy about one big happy family and its sometimes awkward, often hilarious and ultimately beautiful milestone moments as told by its various members.",57,hs1786,4,season
s1787,tv show,snowfall,nan,nan,united states,2020-03-02,2017,tv-ma,4 season,"black stories, drama",snowfall is a one-hour drama set against the infancy of the crack cocaine epidemic and its ultimate radical impact on the culture as we know it.,73,hs1787,4,season
s1788,tv show,extreme rescues,nan,nan,nan,2020-03-01,2020,tv-14,1 season,"adventure, documentaries",footage of real-life rescues captured by the rescuers themselves as they put their lives on the line saving others.,74,hs1788,1,season
s1789,tv show,hawthorne,nan,nan,nan,2020-03-01,2009,tv-14,3 season,drama,"richmond trinity hospital's chief nursing officer christina hawthorne loves her job, despite the long days and nights she spends on the hospital's front lines. she does everything possible to help her patients and defend her staff, even if that means violating protocol or taking on doctors or administrators who sometimes lose sight of a hospital's true purpose. but her intense focus at work comes with a cost to her personal life, now that she's a single mother – her husband recently lost a battle with cancer – trying to raise a rebellious teenage daughter.",79,hs1789,3,season
s1790,tv show,ok k.o.! let's be heroes,nan,nan,nan,2020-03-01,2013,tv-g,3 season,"adventure, family, kids",ok k.o.! let's be heroes is an american animated series created by ian jones-quartey and based on his pilot short lakewood plaza turbo.,81,hs1790,3,season
s1791,tv show,nip/tuck,nan,nan,united states,2020-02-27,2003,tv-ma,6 season,"drama, romance","this drama is set in a south florida plastic surgery center, mcnamara-troy, centering around the two doctors who own it. sean mcnamara (dylan walsh) is having problems at home, trying to patch up the rocky road him and his wife julia (joely richardson) are experiencing. on the other hand, sex-craved christian troy (julian mcmahon) uses his charm to bring in potential female candidates and conducts shady business deals, often for the love of money.",45,hs1791,6,season
s1792,tv show,último tren a rusia,nan,nan,nan,2020-02-25,2017,nan,1 season,"documentaries, sports","el último tren a rusia capta la cultura, la gente y las costumbres del país anfitrión del mundial 2018.",25,hs1792,1,season
s1793,tv show,bless this mess,nan,nan,united states,2020-02-24,2019,tv-pg,2 season,"comedy, sitcom","newlyweds rio and mike make the decision to move from big city new york to rural nebraska. after dropping everything (including their jobs and overbearing mother-in-law) to make the move from skyscrapers to farmhouses, they soon realize that the simpler life isn’t as easy as they planned. rio and mike must now learn how to weather the storm as they are faced with unexpected challenges in their new life as farmers.",52,hs1793,2,season
s1794,tv show,bad banks,nan,nan,"germany, luxembourg",2020-02-21,2018,tv-14,2 season,"drama, international, thriller","after being wrongly fired from crédit international, a prestigious investment bank in luxembourg, jana liekam, a talented young investment banker, is offered a dream-job in frankfurt under the supervision of prominent gabriel fenger, head of investment banking at deutsche invest. suddenly, jana not only had to give up her job, but also leave her boyfriend and his 5-year-old daughter behind. while jana quickly manages to impress fenger and his team with her passion and ambition, she realizes only too late that christelle leblanc, her former boss at crédit international, has secretly been pulling the strings and manipulating jana to her own advantage. soon, jana finds herself torn between her new obligations and leblanc’s relentless blackmail…will she and her career survive this merciless powerplay?",41,hs1794,2,season
s1795,tv show,britain's best home cook,nan,nan,united kingdom,2020-02-21,2018,tv-g,2 season,"cooking & food, lifestyle & culture, reality","mary berry, dan doherty and chris bavin search for the nation's best home cook.",8,hs1795,2,season
